,New number,Project code,Project goals,Project activities/outcomes,Grant start year (when was this grant awarded),goal,goal_lower,stopword,punct,lemma,lemma_length,lemma_stop,final,token,dominant_topic,topic_dist
0,1,ARPML-250840-OMLS-22, The museum will design the project to increase the accessibility and flexibility of these virtual synchronous programs for K-12 educators and students.,"The Museum of Science, Boston will offer a free series of interactive, synchronous virtual learning experiences that introduces students to STEM topics. The virtual program for schools and teachers will allow the museum to utilize accessible complements to traditional on-site programs and classroom lessons.",2022," the museum will design the project to increase the accessibility and flexibility of these virtual synchronous programs for k-12 educators and students.the museum of science, boston will offer a free series of interactive, synchronous virtual learning experiences that introduces students to stem topics. the virtual program for schools and teachers will allow the museum to utilize accessible complements to traditional on-site programs and classroom lessons."," the museum will design the project to increase the accessibility and flexibility of these virtual synchronous programs for k-12 educators and students.the museum of science, boston will offer a free series of interactive, synchronous virtual learning experiences that introduces students to stem topics. the virtual program for schools and teachers will allow the museum to utilize accessible complements to traditional on-site programs and classroom lessons.","museum design project increase accessibility flexibility virtual synchronous programs k-12 educators students.the museum science, boston offer free series interactive, synchronous virtual learning experiences introduces students stem topics. virtual program schools teachers allow museum utilize accessible complements traditional on-site programs classroom lessons.","museum design project increase accessibility flexibility virtual synchronous programs k-12 educators students.the museum science, boston offer free series interactive, synchronous virtual learning experiences introduces students stem topics. virtual program schools teachers allow museum utilize accessible complements traditional on-site programs classroom lessons.","museum design project increase accessibility flexibility virtual synchronous program k-12 educator students.the museum science , boston offer free series interactive , synchronous virtual learning experience introduce student stem topic . virtual program school teacher allow museum utilize accessible complement traditional on - site program classroom lesson .",museum design project increase accessibility flexibility virtual synchronous program k-12 educator students.the museum science boston offer free series interactive synchronous virtual learning experience introduce student stem topic virtual program school teacher allow museum utilize accessible complement traditional site program classroom lesson,museum design project increase accessibility flexibility virtual synchronous program k-12 educator students.the museum science boston offer free series interactive synchronous virtual learning experience introduce student stem topic virtual program school teacher allow museum utilize accessible complement traditional site program classroom lesson,museum design project increase accessibility flexibility virtual synchronous program k-12 educator students.the museum science boston offer free series interactive synchronous virtual learning experience introduce student stem topic virtual program school teacher allow museum utilize accessible complement traditional site program classroom lesson,"['museum', 'design', 'project', 'increase', 'accessibility', 'flexibility', 'virtual', 'synchronous', 'program', 'k-12', 'educator', 'students.the', 'museum', 'science', 'boston', 'offer', 'free', 'series', 'interactive', 'synchronous', 'virtual', 'learning', 'experience', 'introduce', 'student', 'stem', 'topic', 'virtual', 'program', 'school', 'teacher', 'allow', 'museum', 'utilize', 'accessible', 'complement', 'traditional', 'site', 'program', 'classroom', 'lesson']",9,"{0: 0.0, 1: 0.10805618064523297, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.2605268374551056}"
1,2,ARPML-250903-OMLS-22,"Homewood Science Center, located outside Chicago, will modify two prototype STEM museum-based activity kits that it developed for local schools to supplement learning during the COVID-19 pandemic.  ","The new kits will include teacher guides, instructional videos, student worksheets, and materials for completing Next Generation Science Standards-supported activities.  The center also will update its current field trip presentation and activities, allowing students recovering from a year of disrupted schooling resulting from the pandemic to participate in Homewood Science Center programming in classrooms or afterschool settings.The center will measure outcomes via the Dimensions of Success survey, developed with support from the National Science Foundation by the Program in Education Afterschool and Resiliency.",2022,"homewood science center, located outside chicago, will modify two prototype stem museum-based activity kits that it developed for local schools to supplement learning during the covid-19 pandemic.  the new kits will include teacher guides, instructional videos, student worksheets, and materials for completing next generation science standards-supported activities.  the center also will update its current field trip presentation and activities, allowing students recovering from a year of disrupted schooling resulting from the pandemic to participate in homewood science center programming in classrooms or afterschool settings.the center will measure outcomes via the dimensions of success survey, developed with support from the national science foundation by the program in education afterschool and resiliency.","homewood science center, located outside chicago, will modify two prototype stem museum-based activity kits that it developed for local schools to supplement learning during the covid-19 pandemic.  the new kits will include teacher guides, instructional videos, student worksheets, and materials for completing next generation science standards-supported activities.  the center also will update its current field trip presentation and activities, allowing students recovering from a year of disrupted schooling resulting from the pandemic to participate in homewood science center programming in classrooms or afterschool settings.the center will measure outcomes via the dimensions of success survey, developed with support from the national science foundation by the program in education afterschool and resiliency.","homewood science center, located outside chicago, modify two prototype stem museum-based activity kits developed local schools supplement learning covid-19 pandemic. new kits include teacher guides, instructional videos, student worksheets, materials completing next generation science standards-supported activities. center also update current field trip presentation activities, allowing students recovering year disrupted schooling resulting pandemic participate homewood science center programming classrooms afterschool settings.the center measure outcomes via dimensions success survey, developed support national science foundation program education afterschool resiliency.","homewood science center, located outside chicago, modify two prototype stem museum-based activity kits developed local schools supplement learning covid-19 pandemic. new kits include teacher guides, instructional videos, student worksheets, materials completing next generation science standards-supported activities. center also update current field trip presentation activities, allowing students recovering year disrupted schooling resulting pandemic participate homewood science center programming classrooms afterschool settings.the center measure outcomes via dimensions success survey, developed support national science foundation program education afterschool resiliency.","homewood science center , locate outside chicago , modify two prototype stem museum - base activity kit develop local school supplement learn covid-19 pandemic . new kit include teacher guide , instructional video , student worksheet , material complete next generation science standard - support activity . center also update current field trip presentation activity , allow student recover year disrupt schooling result pandemic participate homewood science center programming classroom afterschool settings.the center measure outcome via dimension success survey , develop support national science foundation program education afterschool resiliency .",homewood science center locate outside chicago modify two prototype stem museum base activity kit develop local school supplement learn covid-19 pandemic new kit include teacher guide instructional video student worksheet material complete next generation science standard support activity center also update current field trip presentation activity allow student recover year disrupt schooling result pandemic participate homewood science center programming classroom afterschool settings.the center measure outcome via dimension success survey develop support national science foundation program education afterschool resiliency,homewood science center locate outside chicago modify two prototype stem museum base activity kit develop local school supplement learn covid-19 pandemic new kit include teacher guide instructional video student worksheet material complete next generation science standard support activity center also update current field trip presentation activity allow student recover year disrupt schooling result pandemic participate homewood science center programming classroom afterschool settings.the center measure outcome via dimension success survey develop support national science foundation program education afterschool resiliency,homewood science center locate outside chicago modify two prototype stem museum base activity kit develop local school supplement learn covid-19 pandemic new kit include teacher guide instructional video student worksheet material complete next generation science standard support activity center also update current field trip presentation activity allow student recover year disrupt schooling result pandemic participate homewood science center programming classroom afterschool settings.the center measure outcome via dimension success survey develop support national science foundation program education afterschool resiliency,"['homewood', 'science', 'center', 'locate', 'outside', 'chicago', 'modify', 'two', 'prototype', 'stem', 'museum', 'base', 'activity', 'kit', 'develop', 'local', 'school', 'supplement', 'learn', 'covid-19', 'pandemic', 'new', 'kit', 'include', 'teacher', 'guide', 'instructional', 'video', 'student', 'worksheet', 'material', 'complete', 'next', 'generation', 'science', 'standard', 'support', 'activity', 'center', 'also', 'update', 'current', 'field', 'trip', 'presentation', 'activity', 'allow', 'student', 'recover', 'year', 'disrupt', 'schooling', 'result', 'pandemic', 'participate', 'homewood', 'science', 'center', 'programming', 'classroom', 'afterschool', 'settings.the', 'center', 'measure', 'outcome', 'via', 'dimension', 'success', 'survey', 'develop', 'support', 'national', 'science', 'foundation', 'program', 'education', 'afterschool', 'resiliency']",1,"{0: 0.0, 1: 0.3015328766144739, 2: 0.053477560980908855, 3: 0.04455659501296921, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.056785165635960866}"
2,3,ARPML-250790-OMLS-22,"Clay County Public Library System in Florida will reimagine its four makerspaces to address COVID-19 disruptions that affected participation in community events, study groups, college preparation, and the workforce. ","With dedicated personnel, these formerly self-directed creation spaces will be better positioned to help families, teens, and students navigate tools for 3-D printing, making art, podcasting, and converting digital/audio materials. The rooms will benefit those reentering the workforce, starting a new business, working on school projects, or collaborating with other makers in the community. The project will promote the library's free tools and safe spaces that support community engagement and dialog to foster pandemic recovery.",2022,"clay county public library system in florida will reimagine its four makerspaces to address covid-19 disruptions that affected participation in community events, study groups, college preparation, and the workforce. with dedicated personnel, these formerly self-directed creation spaces will be better positioned to help families, teens, and students navigate tools for 3-d printing, making art, podcasting, and converting digital/audio materials. the rooms will benefit those reentering the workforce, starting a new business, working on school projects, or collaborating with other makers in the community. the project will promote the library's free tools and safe spaces that support community engagement and dialog to foster pandemic recovery.","clay county public library system in florida will reimagine its four makerspaces to address covid-19 disruptions that affected participation in community events, study groups, college preparation, and the workforce. with dedicated personnel, these formerly self-directed creation spaces will be better positioned to help families, teens, and students navigate tools for 3-d printing, making art, podcasting, and converting digital/audio materials. the rooms will benefit those reentering the workforce, starting a new business, working on school projects, or collaborating with other makers in the community. the project will promote the library's free tools and safe spaces that support community engagement and dialog to foster pandemic recovery.","clay county public library system florida reimagine four makerspaces address covid-19 disruptions affected participation community events, study groups, college preparation, workforce. dedicated personnel, formerly self-directed creation spaces better positioned help families, teens, students navigate tools 3-d printing, making art, podcasting, converting digital/audio materials. rooms benefit reentering workforce, starting new business, working school projects, collaborating makers community. project promote library's free tools safe spaces support community engagement dialog foster pandemic recovery.","clay county public library system florida reimagine four makerspaces address covid-19 disruptions affected participation community events, study groups, college preparation, workforce. dedicated personnel, formerly self-directed creation spaces better positioned help families, teens, students navigate tools 3-d printing, making art, podcasting, converting digital/audio materials. rooms benefit reentering workforce, starting new business, working school projects, collaborating makers community. project promote library's free tools safe spaces support community engagement dialog foster pandemic recovery.","clay county public library system florida reimagine four makerspace address covid-19 disruption affect participation community event , study group , college preparation , workforce . dedicated personnel , formerly self - direct creation space well positioned help family , teen , student navigate tool 3 - d printing , make art , podcasting , convert digital / audio material . room benefit reentere workforce , start new business , work school project , collaborate maker community . project promote library 's free tool safe space support community engagement dialog foster pandemic recovery .",clay county public library system florida reimagine four makerspace address covid-19 disruption affect participation community event study group college preparation workforce dedicated personnel formerly self direct creation space well positioned help family teen student navigate tool printing make art podcasting convert digital audio material room benefit reentere workforce start new business work school project collaborate maker community project promote library free tool safe space support community engagement dialog foster pandemic recovery,clay county public library system florida reimagine four makerspace address covid-19 disruption affect participation community event study group college preparation workforce dedicated personnel formerly self direct creation space well positioned help family teen student navigate tool printing make art podcasting convert digital audio material room benefit reentere workforce start new business work school project collaborate maker community project promote library free tool safe space support community engagement dialog foster pandemic recovery,clay county public library system florida reimagine four makerspace address covid-19 disruption affect participation community event study group college preparation workforce dedicate personnel formerly self direct creation space well position help family teen student navigate tool printing make art podcasting convert digital audio material room benefit reentere workforce start new business work school project collaborate maker community project promote library free tool safe space support community engagement dialog foster pandemic recovery,"['clay', 'county', 'public', 'library', 'system', 'florida', 'reimagine', 'four', 'makerspace', 'address', 'covid-19', 'disruption', 'affect', 'participation', 'community', 'event', 'study', 'group', 'college', 'preparation', 'workforce', 'dedicate', 'personnel', 'formerly', 'self', 'direct', 'creation', 'space', 'well', 'position', 'help', 'family', 'teen', 'student', 'navigate', 'tool', 'printing', 'make', 'art', 'podcasting', 'convert', 'digital', 'audio', 'material', 'room', 'benefit', 'reentere', 'workforce', 'start', 'new', 'business', 'work', 'school', 'project', 'collaborate', 'maker', 'community', 'project', 'promote', 'library', 'free', 'tool', 'safe', 'space', 'support', 'community', 'engagement', 'dialog', 'foster', 'pandemic', 'recovery']",5,"{0: 0.0, 1: 0.010229724819687501, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.24057049652397136, 6: 0.15112137995480837, 7: 0.0, 8: 0.03097576179127407, 9: 0.05702986694574618}"
3,4,ARPML-250600-OMLS-22,"Sciencenter in Ithaca, New York, will conduct a capacity-building project to improve the museum's digital infrastructure and expand community access to programming. ","they plan to upgrade the museum's Wi-Fi connectivity, increasing access and reliability for visitors and supporting the development of digital programs for target audiences. Working with community partners, Sciencenter will create interactive STEM programs that complement classroom learning for students in grades pre-K through 6. By relating content to students' personal experiences and surroundings, they will foster higher engagement in activities and help to address the pandemic's impact on STEM learning.",2022,"sciencenter in ithaca, new york, will conduct a capacity-building project to improve the museum's digital infrastructure and expand community access to programming. they plan to upgrade the museum's wi-fi connectivity, increasing access and reliability for visitors and supporting the development of digital programs for target audiences. working with community partners, sciencenter will create interactive stem programs that complement classroom learning for students in grades pre-k through 6. by relating content to students' personal experiences and surroundings, they will foster higher engagement in activities and help to address the pandemic's impact on stem learning.","sciencenter in ithaca, new york, will conduct a capacity-building project to improve the museum's digital infrastructure and expand community access to programming. they plan to upgrade the museum's wi-fi connectivity, increasing access and reliability for visitors and supporting the development of digital programs for target audiences. working with community partners, sciencenter will create interactive stem programs that complement classroom learning for students in grades pre-k through 6. by relating content to students' personal experiences and surroundings, they will foster higher engagement in activities and help to address the pandemic's impact on stem learning.","sciencenter ithaca, new york, conduct capacity-building project improve museum's digital infrastructure expand community access programming. plan upgrade museum's wi-fi connectivity, increasing access reliability visitors supporting development digital programs target audiences. working community partners, sciencenter create interactive stem programs complement classroom learning students grades pre-k 6. relating content students' personal experiences surroundings, foster higher engagement activities help address pandemic's impact stem learning.","sciencenter ithaca, new york, conduct capacity-building project improve museum's digital infrastructure expand community access programming. plan upgrade museum's wi-fi connectivity, increasing access reliability visitors supporting development digital programs target audiences. working community partners, sciencenter create interactive stem programs complement classroom learning students grades pre-k 6. relating content students' personal experiences surroundings, foster higher engagement activities help address pandemic's impact stem learning.","sciencenter ithaca , new york , conduct capacity - building project improve museum 's digital infrastructure expand community access programming . plan upgrade museum 's wi - fi connectivity , increase access reliability visitor support development digital program target audience . work community partner , sciencenter create interactive stem program complement classroom learn student grade pre - k 6 . relate content student ' personal experience surrounding , foster high engagement activity help address pandemic 's impact stem learning .",sciencenter ithaca new york conduct capacity building project improve museum digital infrastructure expand community access programming plan upgrade museum connectivity increase access reliability visitor support development digital program target audience work community partner sciencenter create interactive stem program complement classroom learn student grade pre relate content student personal experience surrounding foster high engagement activity help address pandemic impact stem learning,sciencenter ithaca new york conduct capacity building project improve museum digital infrastructure expand community access programming plan upgrade museum connectivity increase access reliability visitor support development digital program target audience work community partner sciencenter create interactive stem program complement classroom learn student grade pre relate content student personal experience surrounding foster high engagement activity help address pandemic impact stem learning,sciencenter ithaca new york conduct capacity building project improve museum digital infrastructure expand community access programming plan upgrade museum connectivity increase access reliability visitor support development digital program target audience work community partner sciencenter create interactive stem program complement classroom learn student grade pre relate content student personal experience surround foster high engagement activity help address pandemic impact stem learning,"['sciencenter', 'ithaca', 'new', 'york', 'conduct', 'capacity', 'building', 'project', 'improve', 'museum', 'digital', 'infrastructure', 'expand', 'community', 'access', 'programming', 'plan', 'upgrade', 'museum', 'connectivity', 'increase', 'access', 'reliability', 'visitor', 'support', 'development', 'digital', 'program', 'target', 'audience', 'work', 'community', 'partner', 'sciencenter', 'create', 'interactive', 'stem', 'program', 'complement', 'classroom', 'learn', 'student', 'grade', 'pre', 'relate', 'content', 'student', 'personal', 'experience', 'surround', 'foster', 'high', 'engagement', 'activity', 'help', 'address', 'pandemic', 'impact', 'stem', 'learning']",9,"{0: 0.0004747788168272543, 1: 0.06718103759461086, 2: 0.0, 3: 0.0, 4: 0.006560432123356287, 5: 0.0, 6: 0.006742311658154238, 7: 0.0, 8: 3.0109383325943855e-05, 9: 0.41740387814262614}"
4,5,ARPML-250537-OMLS-22,Orlando Science Center in Florida will partner with Orange County Public Schools to provide school field trips focused on STEM and engineering design for K-5 students,"The museum will recruit at least 120 classrooms, with a focus on Title I schools and those who are underrepresented and underserved as a result of the COVID-19 pandemic. They will engage approximately 3,000 students and their teachers in sparking lifelong STEM learning, cultivating STEM and 21st century skills (collaboration and critical thinking), and providing awareness of a path to further STEM education and careers, ultimately leading to greater community prosperity by preparing Central Florida's future STEM workforce.",2022,"orlando science center in florida will partner with orange county public schools to provide school field trips focused on stem and engineering design for k-5 studentsthe museum will recruit at least 120 classrooms, with a focus on title i schools and those who are underrepresented and underserved as a result of the covid-19 pandemic. they will engage approximately 3,000 students and their teachers in sparking lifelong stem learning, cultivating stem and 21st century skills (collaboration and critical thinking), and providing awareness of a path to further stem education and careers, ultimately leading to greater community prosperity by preparing central florida's future stem workforce.","orlando science center in florida will partner with orange county public schools to provide school field trips focused on stem and engineering design for k-5 studentsthe museum will recruit at least 120 classrooms, with a focus on title i schools and those who are underrepresented and underserved as a result of the covid-19 pandemic. they will engage approximately 3,000 students and their teachers in sparking lifelong stem learning, cultivating stem and 21st century skills (collaboration and critical thinking), and providing awareness of a path to further stem education and careers, ultimately leading to greater community prosperity by preparing central florida's future stem workforce.","orlando science center florida partner orange county public schools provide school field trips focused stem engineering design k-5 studentsthe museum recruit least 120 classrooms, focus title schools underrepresented underserved result covid-19 pandemic. engage approximately 3,000 students teachers sparking lifelong stem learning, cultivating stem 21st century skills (collaboration critical thinking), providing awareness path stem education careers, ultimately leading greater community prosperity preparing central florida's future stem workforce.","orlando science center florida partner orange county public schools provide school field trips focused stem engineering design k-5 studentsthe museum recruit least 120 classrooms, focus title schools underrepresented underserved result covid-19 pandemic. engage approximately 3,000 students teachers sparking lifelong stem learning, cultivating stem 21st century skills (collaboration critical thinking), providing awareness path stem education careers, ultimately leading greater community prosperity preparing central florida's future stem workforce.","orlando science center florida partner orange county public school provide school field trip focus stem engineering design k-5 studentsthe museum recruit least 120 classroom , focus title school underrepresented underserved result covid-19 pandemic . engage approximately 3,000 student teacher spark lifelong stem learning , cultivate stem 21st century skill ( collaboration critical thinking ) , provide awareness path stem education career , ultimately lead great community prosperity prepare central florida 's future stem workforce .","orlando science center florida partner orange county public school provide school field trip focus stem engineering design k-5 studentsthe museum recruit least classroom focus title school underrepresented underserved result covid-19 pandemic engage approximately 3,000 student teacher spark lifelong stem learning cultivate stem 21st century skill collaboration critical thinking provide awareness path stem education career ultimately lead great community prosperity prepare central florida future stem workforce","orlando science center florida partner orange county public school provide school field trip focus stem engineering design k-5 studentsthe museum recruit least classroom focus title school underrepresented underserved result covid-19 pandemic engage approximately 3,000 student teacher spark lifelong stem learning cultivate stem 21st century skill collaboration critical thinking provide awareness path stem education career ultimately lead great community prosperity prepare central florida future stem workforce","orlando science center florida partner orange county public school provide school field trip focus stem engineering design k-5 studentsthe museum recruit least classroom focus title school underrepresented underserved result covid-19 pandemic engage approximately 3,000 student teacher spark lifelong stem learning cultivate stem 21st century skill collaboration critical thinking provide awareness path stem education career ultimately lead great community prosperity prepare central florida future stem workforce","['orlando', 'science', 'center', 'florida', 'partner', 'orange', 'county', 'public', 'school', 'provide', 'school', 'field', 'trip', 'focus', 'stem', 'engineering', 'design', 'k-5', 'studentsthe', 'museum', 'recruit', 'least', 'classroom', 'focus', 'title', 'school', 'underrepresented', 'underserved', 'result', 'covid-19', 'pandemic', 'engage', 'approximately', '3,000', 'student', 'teacher', 'spark', 'lifelong', 'stem', 'learning', 'cultivate', 'stem', '21st', 'century', 'skill', 'collaboration', 'critical', 'thinking', 'provide', 'awareness', 'path', 'stem', 'education', 'career', 'ultimately', 'lead', 'great', 'community', 'prosperity', 'prepare', 'central', 'florida', 'future', 'stem', 'workforce']",1,"{0: 0.004291890724355834, 1: 0.3356074221939547, 2: 0.0, 3: 0.0003234693267494716, 4: 0.0, 5: 0.0, 6: 0.06443955512717778, 7: 0.009011371861950194, 8: 0.03742551253733149, 9: 0.0}"
5,6,ARPML-250795-OMLS-22,The Discovery Center Museum will enhance classroom learning and mitigate student learning loss due to the COVID-19 pandemic ...The project is designed to spark an interest in and build confidence with STEM to support increased student achievement in these subject areas.," delivering a suite of STEM-focused programming for students enrolled in afterschool programs at ten at-risk elementary schools. Museum staff will visit each school two times per month, reaching approximately 100 students in each program with hands-on, interactive STEM activities that enhance their classroom work. To engage families, the museum will host one two-hour Family Night at each elementary school, offering hands-on, STEM based activities to students and their family members. Finally, each afterschool program will make a free STEM-focused field trip to the museum where students can extend their science learning. ",2022,"the discovery center museum will enhance classroom learning and mitigate student learning loss due to the covid-19 pandemic ...the project is designed to spark an interest in and build confidence with stem to support increased student achievement in these subject areas. delivering a suite of stem-focused programming for students enrolled in afterschool programs at ten at-risk elementary schools. museum staff will visit each school two times per month, reaching approximately 100 students in each program with hands-on, interactive stem activities that enhance their classroom work. to engage families, the museum will host one two-hour family night at each elementary school, offering hands-on, stem based activities to students and their family members. finally, each afterschool program will make a free stem-focused field trip to the museum where students can extend their science learning. ","the discovery center museum will enhance classroom learning and mitigate student learning loss due to the covid-19 pandemic ...the project is designed to spark an interest in and build confidence with stem to support increased student achievement in these subject areas. delivering a suite of stem-focused programming for students enrolled in afterschool programs at ten at-risk elementary schools. museum staff will visit each school two times per month, reaching approximately 100 students in each program with hands-on, interactive stem activities that enhance their classroom work. to engage families, the museum will host one two-hour family night at each elementary school, offering hands-on, stem based activities to students and their family members. finally, each afterschool program will make a free stem-focused field trip to the museum where students can extend their science learning. ","discovery center museum enhance classroom learning mitigate student learning loss due covid-19 pandemic ...the project designed spark interest build confidence stem support increased student achievement subject areas. delivering suite stem-focused programming students enrolled afterschool programs ten at-risk elementary schools. museum staff visit school two times per month, reaching approximately 100 students program hands-on, interactive stem activities enhance classroom work. engage families, museum host one two-hour family night elementary school, offering hands-on, stem based activities students family members. finally, afterschool program make free stem-focused field trip museum students extend science learning.","discovery center museum enhance classroom learning mitigate student learning loss due covid-19 pandemic ...the project designed spark interest build confidence stem support increased student achievement subject areas. delivering suite stem-focused programming students enrolled afterschool programs ten at-risk elementary schools. museum staff visit school two times per month, reaching approximately 100 students program hands-on, interactive stem activities enhance classroom work. engage families, museum host one two-hour family night elementary school, offering hands-on, stem based activities students family members. finally, afterschool program make free stem-focused field trip museum students extend science learning.","discovery center museum enhance classroom learn mitigate student learning loss due covid-19 pandemic ... the project design spark interest build confidence stem support increase student achievement subject area . deliver suite stem - focus programming student enrol afterschool program ten at - risk elementary school . museum staff visit school two time per month , reach approximately 100 student program hand - on , interactive stem activity enhance classroom work . engage family , museum host one two - hour family night elementary school , offer hand - on , stem base activity student family member . finally , afterschool program make free stem - focused field trip museum student extend science learning .",discovery center museum enhance classroom learn mitigate student learning loss due covid-19 pandemic ... the project design spark interest build confidence stem support increase student achievement subject area deliver suite stem focus programming student enrol afterschool program ten risk elementary school museum staff visit school two time per month reach approximately student program hand interactive stem activity enhance classroom work engage family museum host one two hour family night elementary school offer hand stem base activity student family member finally afterschool program make free stem focused field trip museum student extend science learning,discovery center museum enhance classroom learn mitigate student learning loss due covid-19 pandemic ... project design spark interest build confidence stem support increase student achievement subject area deliver suite stem focus programming student enrol afterschool program ten risk elementary school museum staff visit school two time per month reach approximately student program hand interactive stem activity enhance classroom work engage family museum host one two hour family night elementary school offer hand stem base activity student family member finally afterschool program make free stem focused field trip museum student extend science learning,discovery center museum enhance classroom learn mitigate student learning loss due covid-19 pandemic ... project design spark interest build confidence stem support increase student achievement subject area deliver suite stem focus programming student enrol afterschool program ten risk elementary school museum staff visit school two time per month reach approximately student program hand interactive stem activity enhance classroom work engage family museum host one two hour family night elementary school offer hand stem base activity student family member finally afterschool program make free stem focused field trip museum student extend science learning,"['discovery', 'center', 'museum', 'enhance', 'classroom', 'learn', 'mitigate', 'student', 'learning', 'loss', 'due', 'covid-19', 'pandemic', '...', 'project', 'design', 'spark', 'interest', 'build', 'confidence', 'stem', 'support', 'increase', 'student', 'achievement', 'subject', 'area', 'deliver', 'suite', 'stem', 'focus', 'programming', 'student', 'enrol', 'afterschool', 'program', 'ten', 'risk', 'elementary', 'school', 'museum', 'staff', 'visit', 'school', 'two', 'time', 'per', 'month', 'reach', 'approximately', 'student', 'program', 'hand', 'interactive', 'stem', 'activity', 'enhance', 'classroom', 'work', 'engage', 'family', 'museum', 'host', 'one', 'two', 'hour', 'family', 'night', 'elementary', 'school', 'offer', 'hand', 'stem', 'base', 'activity', 'student', 'family', 'member', 'finally', 'afterschool', 'program', 'make', 'free', 'stem', 'focused', 'field', 'trip', 'museum', 'student', 'extend', 'science', 'learning']",1,"{0: 0.0, 1: 0.4378317543758393, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.09610326432342543, 9: 0.04998822911719589}"
6,7,ARPML-250509-OMLS-22,"to deliver high quality, culturally responsive, environmental-focused STEM after school programs in high-need school districts","The Massachusetts Audubon Society (Mass Audubon) will develop and implement a professional development (PD) training program for approximately 50 Mass Audubon educators working out of 19 nature centers and an art museum ... Once trained, these educators will work with schools across Massachusetts delivering approximately 54 different afterschool program series. The resulting programs provide outdoor nature programming facilitated by educators who have participated in special training to help with the social-emotional and academic recovery for students from communities most impacted by the COVID-19 pandemic.",2022,"to deliver high quality, culturally responsive, environmental-focused stem after school programs in high-need school districtsthe massachusetts audubon society (mass audubon) will develop and implement a professional development (pd) training program for approximately 50 mass audubon educators working out of 19 nature centers and an art museum ... once trained, these educators will work with schools across massachusetts delivering approximately 54 different afterschool program series. the resulting programs provide outdoor nature programming facilitated by educators who have participated in special training to help with the social-emotional and academic recovery for students from communities most impacted by the covid-19 pandemic.","to deliver high quality, culturally responsive, environmental-focused stem after school programs in high-need school districtsthe massachusetts audubon society (mass audubon) will develop and implement a professional development (pd) training program for approximately 50 mass audubon educators working out of 19 nature centers and an art museum ... once trained, these educators will work with schools across massachusetts delivering approximately 54 different afterschool program series. the resulting programs provide outdoor nature programming facilitated by educators who have participated in special training to help with the social-emotional and academic recovery for students from communities most impacted by the covid-19 pandemic.","deliver high quality, culturally responsive, environmental-focused stem school programs high-need school districtsthe massachusetts audubon society (mass audubon) develop implement professional development (pd) training program approximately 50 mass audubon educators working 19 nature centers art museum ... trained, educators work schools across massachusetts delivering approximately 54 different afterschool program series. resulting programs provide outdoor nature programming facilitated educators participated special training help social-emotional academic recovery students communities impacted covid-19 pandemic.","deliver high quality, culturally responsive, environmental-focused stem school programs high-need school districtsthe massachusetts audubon society (mass audubon) develop implement professional development (pd) training program approximately 50 mass audubon educators working 19 nature centers art museum ... trained, educators work schools across massachusetts delivering approximately 54 different afterschool program series. resulting programs provide outdoor nature programming facilitated educators participated special training help social-emotional academic recovery students communities impacted covid-19 pandemic.","deliver high quality , culturally responsive , environmental - focus stem school program high - need school districtsthe massachusetts audubon society ( mass audubon ) develop implement professional development ( pd ) training program approximately 50 mass audubon educator work 19 nature center art museum ... train , educator work school across massachusetts deliver approximately 54 different afterschool program series . result program provide outdoor nature programming facilitated educator participate special training help social - emotional academic recovery student community impact covid-19 pandemic .",deliver high quality culturally responsive environmental focus stem school program high need school districtsthe massachusetts audubon society mass audubon develop implement professional development training program approximately mass audubon educator work nature center art museum ... train educator work school across massachusetts deliver approximately different afterschool program series result program provide outdoor nature programming facilitated educator participate special training help social emotional academic recovery student community impact covid-19 pandemic,deliver high quality culturally responsive environmental focus stem school program high need school districtsthe massachusetts audubon society mass audubon develop implement professional development training program approximately mass audubon educator work nature center art museum ... train educator work school across massachusetts deliver approximately different afterschool program series result program provide outdoor nature programming facilitated educator participate special training help social emotional academic recovery student community impact covid-19 pandemic,deliver high quality culturally responsive environmental focus stem school program high need school districtsthe massachusetts audubon society mass audubon develop implement professional development training program approximately mass audubon educator work nature center art museum ... train educator work school across massachusetts deliver approximately different afterschool program series result program provide outdoor nature programming facilitated educator participate special training help social emotional academic recovery student community impact covid-19 pandemic,"['deliver', 'high', 'quality', 'culturally', 'responsive', 'environmental', 'focus', 'stem', 'school', 'program', 'high', 'need', 'school', 'districtsthe', 'massachusetts', 'audubon', 'society', 'mass', 'audubon', 'develop', 'implement', 'professional', 'development', 'training', 'program', 'approximately', 'mass', 'audubon', 'educator', 'work', 'nature', 'center', 'art', 'museum', '...', 'train', 'educator', 'work', 'school', 'across', 'massachusetts', 'deliver', 'approximately', 'different', 'afterschool', 'program', 'series', 'result', 'program', 'provide', 'outdoor', 'nature', 'programming', 'facilitated', 'educator', 'participate', 'special', 'training', 'help', 'social', 'emotional', 'academic', 'recovery', 'student', 'community', 'impact', 'covid-19', 'pandemic']",1,"{0: 0.05033660953688385, 1: 0.17874701949864152, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.11258046111443673}"
